laborant_ID;subject_ID;handlengte;handbreedte;sexe
5614;1;175;80;M
9190;2;165;75;V
5614;3;190;90;M
5614;4;185;90;M
9190;5;172;70;V
5614;6;170;78;V
9190;7;180;80;M
9190;8;190;85;M
9190;9;160;70;V
5614;10;200;90;M
9190;11;180;80;V
9190;12;180;83;V
9190;13;170;70;V
5614;14;175;80;V
9190;15;200;95;M
5614;16;180;90;M
5614;17;162;75;V
5614;18;190;84;V
9190;19;180;72;V
9190;20;180;78;V
9190;21;187;76;M
5614;22;160;80;V
5614;23;172;72;V
9190;24;160;70;V
9190;25;180;82;V
5614;26;180;84;M
5614;27;185;75;M
9190;28;186;85;M
9190;29;187;78;M
5614;30;170;80;M
5614;31;183;83;M
9190;32;195;90;M
9190;33;180;80;V
