laborant_ID;subject_ID;handlengte;handbreedte;sexe
1;1;184;76;m
1;2;166;74;v
1;3;201;87;m
1;4;188;82;m
1;5;175;72;v
1;6;182;78;v
1;7;188;86;m
1;8;202;85;m
1;9;165;72;v
1;10;200;97;m
1;11;178;74;v
1;12;176;76;v
1;13;165;74;v
1;14;182;80;v
1;15;201;92;m
1;16;192;82;m
1;17;152;76;v
1;18;196;84;v
1;19;174;78;v
1;20;174;73;v
2;21;187;76;m
2;22;158;69;v
2;23;162;59;v
2;24;155;76;v
2;25;174;82;v
2;26;173;82;m
2;27;176;75;m
2;28;185;80;m
2;29;180;78;m
2;30;167;82;m
2;31;169;89;m
2;32;182;90;m
2;33;180;78;v
